epoch,train_loss,val_auc,val_acc
1,0.6057623834616837,0.8566176470588236,0.8068181818181818
2,0.5506276386822092,0.9080882352941176,0.8068181818181818
3,0.5503097680964689,0.8786764705882353,0.8068181818181818
4,0.5087113135504997,0.8941176470588235,0.8068181818181818
5,0.48670416188308563,0.8911764705882352,0.6931818181818182
6,0.5224883849250859,0.8705882352941177,0.8068181818181818
7,0.5342643450217686,0.8933823529411764,0.7954545454545454
8,0.4967856582725185,0.8507352941176469,0.7954545454545454
9,0.46921968177474777,0.8801470588235294,0.7613636363636364
10,0.4909216907175108,0.9022058823529413,0.7840909090909091
